ACLM,ACH,LTLM,LTH,PLM,PH,BH,PaLM,PaH,RuLM,RuH,DBL,DBH,RoadRoidIRI
0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.15,3.12
0.0,0.633,0.523,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.109,0.0,3.11
0.66,0.0,0.0,0.0,0.0,0.0,0.32,0.839,0.0,0.164,0.719,0.676,0.0,2.154
0.25,0.0,1.298,0.722,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.469,0.131,2.98
0.0,0.88,0.0,0.0,0.0,0.0,0.55,0.719,0.0,0.087,0.0,0.258,0.0,3.651
0.25,0.11,1.101,0.491,0.0,0.0,0.0,0.251,0.0,0.0,0.0,0.828,0.055,2.854
0.0,0.0,0.0,0.0,0.011,0.0,1.08,0.0,0.654,0.0,0.0,1.046,1.319,3.482
0.0,0.362,0.153,0.719,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.6,0.0,3.282
0.58,0.746,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.112,0.0,3.605
1.33,0.0,0.0,0.286,0.011,0.0,0.1,0.0,0.0,0.0,0.18,0.654,0.0,2.948
0.55,0.0,1.602,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.156,0.251,2.852
0.0,0.316,0.561,0.0,0.182,0.0,0.66,0.556,0.0,0.0,0.687,0.567,0.0,3.69
0.0,0.0,0.349,0.0,0.077,0.0,0.0,0.109,0.0,0.0,0.0,0.395,0.0,2.422
0.15,0.0,0.894,0.218,0.0,0.0,0.89,1.046,0.0,0.0,0.0,0.556,0.36,2.996
1.2,0.32,0.0,0.0,0.044,0.022,0.23,0.24,0.327,0.0,0.0,0.567,0.164,3.793
0.0,0.15,0.12,0.164,0.0,0.0,0.32,0.0,0.0,0.251,0.164,0.349,0.0,2.531
0.52,1.2,0.669,0.164,0.008,0.0,0.0,0.0,0.0,0.36,0.0,0.808,0.327,4.419
0.211,0.0,0.12,0.0,0.726,0.0,0.23,0.61,0.654,0.0,0.0,0.174,0.0,5.366
0.0,0.0,0.981,0.327,0.0,0.0,0.79,0.251,0.0,0.0,0.218,0.0,1.09,3.083
0.24,0.0,0.382,0.327,0.006,0.0,0.6,0.0,0.872,1.308,0.36,0.327,0.992,3.592
2.1,0.0,0.035,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.16,0.654,3.369
0.23,0.0,0.0,0.0,0.0,0.0,0.66,0.403,0.0,0.0,0.0,1.308,0.327,2.763
1.2,1.017,1.199,2.649,0.0,0.0,1.4,0.0,0.0,0.0,0.001,0.0,0.251,6.008
0.0,0.0,1.62,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861,0.0,2.459
0.3,0.0,0.981,0.131,0.0,0.0,0.15,0.0,0.0,0.0,0.001,1.439,0.376,2.771
0.32,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.163
0.3,0.0,0.981,0.131,0.0,0.0,0.15,0.0,0.0,0.371,0.0,1.352,0.0,2.636
1.23,0.0,0.142,0.12,0.0,0.0,0.0,0.0,0.0,0.327,0.0,0.0,0.0,2.668
0.0,0.362,0.0,0.0,0.121,0.022,0.2,0.251,0.0,0.164,0.61,0.131,0.676,3.653
0.0,0.26,0.785,0.207,0.011,0.0,0.66,0.0,0.0,0.0,0.164,0.131,0.251,3.002
0.98,0.0,0.0,0.0,0.0,0.065,0.53,0.709,0.0,0.0,0.36,0.0,1.275,3.884
0.0,1.356,1.014,0.35,0.0,0.086,0.0,0.0,0.0,0.055,0.164,0.362,0.0,5.064
0.0,1.356,0.0,0.0,0.22,0.0,0.0,0.0,0.349,0.0,0.0,0.056,0.0,4.926
0.11,1.074,2.143,0.0,0.011,0.13,0.95,0.218,0.218,0.0,0.24,0.0,0.218,5.641
0.0,0.0,1.155,1.373,0.0,0.0,0.66,0.0,0.0,0.0,0.0,1.271,0.137,3.309
1.11,0.0,0.0,0.0,0.143,0.0,0.23,0.164,0.0,0.12,0.0,0.523,0.0,3.255
0.0,1.141,1.09,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.218,0.251,4.097
0.66,0.0,0.0,0.654,0.0,0.216,0.12,0.164,0.0,0.0,0.0,0.765,1.221,5.249
1.2,0.339,0.654,0.927,0.0,0.248,0.0,0.338,0.0,0.0,0.164,0.654,0.109,5.985
0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.305,0.0,0.0,0.0,1.123,1.112,2.745
0.0,0.0,0.664,0.687,0.0,0.0,0.4,0.36,0.0,0.0,0.0,1.439,0.0,2.844
0.0,0.0,0.016,0.035,0.0,0.0,0.6,0.0,0.0,0.327,0.0,0.687,0.164,2.466
0.05,0.0,0.0,0.824,0.0,0.0,0.08,0.0,0.0,1.079,0.207,0.283,0.0,2.616
0.0,0.0,0.0,0.0,0.011,0.0,0.29,0.218,0.0,0.0,0.0,0.741,0.251,2.652
0.65,0.0,1.744,0.703,0.0,0.0,0.0,0.0,0.545,0.36,0.0,0.0,0.0,2.352
0.3,0.0,0.0,0.654,0.132,0.0,1.0,0.0,0.087,0.0,0.0,0.763,0.0,3.583
0.0,0.0,0.687,1.504,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.218,3.255
0.1,0.068,0.218,0.153,0.0,0.043,1.56,1.526,0.0,0.0,0.0,0.137,0.0,3.445
0.0,0.0,1.69,1.995,0.0,0.0,0.0,1.308,0.0,0.0,0.087,0.0,0.0,3.324
0.0,0.565,1.609,0.164,0.077,0.0,3.8,0.85,0.0,0.523,0.0,0.273,2.42,6.002
0.0,0.904,1.624,0.251,0.0,0.0,1.1,0.164,0.0,0.0,1.079,0.251,0.0,4.182
0.8,0.0,1.09,1.951,0.022,0.0,0.0,0.0,0.0,0.0,0.283,0.327,0.174,3.655
0.11,0.0,1.308,0.0,0.0,0.0,1.472,0.927,1.7,0.0,0.0,0.0,2.017,4.521
0.8,0.0,0.142,0.0,0.0,0.648,3.66,0.0,0.36,0.0,0.0,0.828,0.654,10.177
0.0,0.0,0.491,1.036,0.242,0.0,0.555,0.0,0.0,0.0,0.654,0.807,0.0,3.878
2.4,0.0,1.635,0.0,0.011,0.054,1.2,0.0,0.0,0.0,0.12,0.0,0.0,4.283
0.0,1.356,0.545,0.654,0.0,0.0,0.0,2.834,0.0,0.0,0.0,0.0,0.0,4.648
0.0,0.0,0.61,0.632,0.165,0.0,0.0,1.363,0.0,0.327,0.0,1.962,0.0,3.524
1.45,0.0,2.562,0.0,0.0,1.091,0.0,0.0,1.69,0.403,0.0,0.709,0.131,13.779
0.0,0.0,1.254,0.872,0.0,0.086,0.48,0.512,0.0,0.0,2.18,0.0,0.0,3.809
0.0,0.712,0.97,0.0,0.0,0.065,2.6,0.719,0.0,0.0,0.0,0.164,0.48,5.014
0.0,1.808,0.0,3.052,0.0,0.0,0.0,0.0,0.0,0.719,0.251,0.927,0.782,6.552
0.6,0.0,0.0,1.221,0.099,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.436,3.979
0.0,1.017,0.0,0.763,0.66,0.065,0.0,0.6,0.0,0.327,0.807,0.0,0.251,7.166
1.65,0.0,0.283,0.24,0.011,0.324,0.26,0.0,0.0,0.0,0.0,0.0,0.0,5.954
0.52,0.0,1.461,0.61,0.099,0.119,0.15,0.0,0.719,0.0,0.349,0.469,0.164,4.723
0.04,1.187,0.36,0.0,0.0,0.108,1.0,2.507,0.0,0.164,0.0,3.375,0.0,5.969
1.2,1.469,0.709,0.251,0.363,0.0,1.05,0.709,0.0,0.0,0.0,0.0,0.491,6.884
0.9,0.0,1.036,13.625,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.0,9.659
0.0,2.802,1.482,0.0,0.682,0.0,2.42,2.703,0.0,0.0,0.0,2.998,0.164,10.524
0.0,0.0,2.245,0.0,0.0,0.0,0.0,0.0,0.0,0.392,0.273,1.352,0.0,2.562
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131,0.0,0.0,0.0,0.0,2.074
0.0,1.424,0.164,0.403,0.253,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,5.583
0.45,0.0,0.0,0.0,0.341,0.0,0.0,0.491,0.0,0.164,0.61,0.709,0.0,3.754
0.04,0.0,3.804,0.654,0.44,0.0,0.6,0.0,0.0,0.0,0.0,1.025,0.606,6.12
