IRI0,Rainfall,Temperature min,Temperature max,Truck CV,Target IRI
4.87,2075,3093,5526,556,5
4.66,1399.3,3093,5526,1231,4.9
5.61,1695.8,3093,5526,1231,6
3.74,1695.8,3093,5526,1231,3.8
3.29,1096.4,4007,5798,658,4
7.03,1391.6,4007,5798,760,8.2
5.75,1391.6,4007,5798,760,5.8
4.41,1391.6,4007,5798,760,5.1
4.54,1691.4,3659,5511,972,5.6
5.37,1691.4,3659,5511,972,7.3
6.92,1859.9,3659,5511,972,7.7
4.89,1859.9,3659,5511,972,7.1
4.87,1859.9,3659,5511,972,6.4
5.4,1859.9,3659,5511,714,7.2
4.97,1859.9,3659,5511,714,6.3
4.9,1859.9,3659,5511,714,7.9
5.11,1859.9,3659,5511,714,6.3
4.66,1859.9,3659,5511,714,6.9
5.59,1859.9,3659,5511,714,6.8
4.55,1859.9,3659,5511,714,5.9
3.98,1859.9,3659,5511,714,4.8
4.15,1859.9,3659,5511,714,6.2
3.91,242.4,3659,5511,714,4.6
3.35,242.4,3659,5511,714,4.4
7.78,242.4,3659,5511,714,10
5.19,242.4,3659,5511,714,7.2
4.09,242.4,3659,5511,714,5.3
3.61,242.4,3659,5511,714,4.3
4.06,242.4,3659,5511,714,5.2
4.23,1642,3126,5325,2828,6
3.9,1642,3126,5325,2828,4.2
5.22,1642,3126,5325,2828,7.5
5.35,1642,3126,5325,2828,7.1
5.29,1642,3126,5325,2828,7.4
6.06,2143.5,3126,5325,2828,6.4
4.52,2198.5,2619,5498,822,4.6
4.38,2198.5,2619,5498,822,4.6
4.58,1934,2619,5498,822,5.3
5.62,1934,2619,5498,822,5.8
3.72,1502.8,2619,5498,1092,4.1
3.85,1502.8,2619,5498,1092,4.3
3.99,1502.8,2619,5498,917,4.2
4.02,1502.8,2619,5498,917,4.1
5.96,1342,2619,5498,1167,7.5
6.1,1342,2619,5498,1167,6.3
6.2,1941.5,2619,5498,441,6.7
6.52,1941.5,2619,5498,441,8.6
6.26,1941.5,2619,5498,441,8.5
6.98,1941.5,2619,5498,1062,7.9
5.9,1941.5,2619,5498,1062,6.9
5.58,1941.5,2619,5498,586,7.4
5.62,1941.5,2619,5498,586,7.1
8.5,870.5,2619,5498,586,11.8
7.56,870.5,2619,5498,586,11.1
8.46,870.5,2619,5498,586,11.8
8.23,870.5,2619,5498,586,11.5
8.36,870.5,2619,5498,586,11.1
5.8,870.5,2619,5498,586,10.1
7.91,870.5,3576,5579,586,9.1
4.97,870.5,3576,5579,679,7.9
6.74,870.5,3576,5579,679,9
6.55,870.5,3576,5579,679,8.7
6.84,870.5,3576,5579,679,9.3
6.15,870.5,3576,5579,679,9.1
6.63,1398.4,3576,5579,679,8.7
6.47,1398.4,3576,5579,679,8.3
5.78,1384.8,3576,5579,526,8.3
5.85,1384.8,3576,5579,526,7.6
5.86,1384.8,3576,5579,526,8.3
5.88,1384.8,3576,5579,526,8.9
8.22,1384.8,3576,5579,526,10.6
6.78,1610.7,3576,5579,526,8.6
5.59,1610.7,3576,5579,526,8.6
5.27,1610.7,3576,5579,526,6.8
5.69,1610.7,3576,5579,526,7
6.01,1610.7,3576,5579,526,7.6
5.11,1610.7,3576,5579,562,5.4
3.98,1610.7,3576,5579,562,4.7
3.77,1610.7,3576,5579,562,4
4.46,1610.7,3576,5579,562,4.7
3.35,1610.7,3576,5579,562,3.8
4.15,1610.7,3576,5579,562,4.5
4.34,1901.9,3467,5297,562,6.4
4.54,1901.9,3467,5297,562,4.8
4.54,1901.9,3467,5297,562,5.3
3.83,1901.9,3467,5297,562,5.2
3.91,1901.9,3467,5297,562,5
3.77,1791.9,3467,5297,562,4.3
4.07,1791.9,3467,5297,562,4.9
4.25,1791.9,3467,5297,562,4.6
4.63,1791.9,3467,5297,562,6.2
4.47,1910.4,3467,5297,549,5.3
4.92,1910.4,3467,5297,549,8
5.54,1910.4,3467,5297,549,7.5
4.49,1910.4,3467,5297,549,6.5
4.39,1910.4,3467,5297,549,5.2
4.76,1910.4,3467,5297,549,6.1
4.57,1910.4,3467,5297,549,5.9
4.09,2025.2,2749,5397,381,5.8
4.2,2021.6,2749,5397,381,4.7
5.21,2021.6,2749,5397,381,5.5
4.95,2021.6,2749,5397,381,5.3
4.49,2021.6,2749,5397,381,5.2
3.88,2143.5,3126,5325,462,5.6
4.25,2143.5,3126,5325,462,5.3
6.12,2143.5,3126,5325,462,7
8.86,2143.5,3126,5325,161,12.3
10.17,2143.5,3126,5325,161,12.1
10.12,2143.5,3126,5325,161,13.3
8.92,2143.5,3126,5325,161,11.1
9.86,2143.5,3126,5325,161,12.1
11.88,2143.5,3126,5325,161,13.7
9.74,2143.5,3126,5325,161,11.7
9.26,2143.5,3126,5325,161,13.3
9.18,2143.5,3126,5325,161,10.6
11.48,1358.6,2990,4853,161,17.4
10.98,1358.6,2990,4853,161,11.2
12.34,1358.6,2990,4853,161,12.7
10.94,1358.6,2990,4853,161,12.8
10.5,1358.6,2990,4853,161,13.5
9.86,1358.6,2990,4853,161,10
10.52,1358.6,2990,4853,161,12.3
10.41,1358.6,2990,4853,161,14.7
10.79,1358.6,2990,4853,161,12.7
10.94,1358.6,2990,4853,161,15.1
9.88,1358.6,2990,4853,161,14
10.55,1358.6,2990,4853,161,15.1
9.5,1358.6,2990,4853,161,11.7
10.94,1358.6,2990,4853,161,14.3
10.14,1358.6,2990,4853,161,13.4
10.74,1358.6,2990,4853,161,13.5
10.41,1358.6,2990,4853,161,12.8
6.31,1358.6,2990,4853,3010,9
3.93,1358.6,2990,4853,1645,4.9
4.86,1358.6,2990,4853,1645,5.3
3.96,1358.6,2990,4853,1645,5.6
4.36,1358.6,2990,4853,1645,4.5
3.96,1358.6,2990,4853,1645,4.7
4.5,1358.6,2990,4853,1645,5.4
4.25,1358.6,2990,4853,1645,7.2
5.72,1358.6,2990,4853,1645,9
6.09,1358.6,2990,4853,1645,9.5
4.65,1158.5,2990,4853,1645,8.2
5,1158.5,2990,4853,1645,5.6
3.93,1158.5,2990,4853,1645,4.8
3.66,1158.5,2990,4853,1645,6
4.2,1158.5,2990,4853,1645,5.4
4.04,1158.5,2990,4853,1645,4.5
4.25,1158.5,2990,4853,1645,6
4.23,1158.5,2990,4853,1645,4.5
5.03,1158.5,2990,4853,1645,5.3
