AC1,AC2,AC3,BE1,BE2,BE3,D1,D2,D3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
0.0,3.8,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,1.55,36.0
0.0,1.59,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,2.22,0.0,1.25,56.0
0.0,0.93,0.0,0.75,3.64,0.0,0.74,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.26,0.0,0.0,0.33,46.0
0.0,11.97,2.99,0.0,1.22,0.0,0.0,0.43,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.97,0.0,45.0
0.0,1.33,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,87.0
0.0,0.21,0.0,0.93,1.04,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,0.0,0.32,56.0
0.0,1.52,0.0,0.0,0.74,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,0.0,64.0
0.0,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,75.5
0.0,0.17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.11,0.0,0.0,0.45,68.0
0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.6,0.0,0.0,0.0,0.0,0.0,53.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0.0,0.24,0.16,0.0,1.2,1.03,0.0,0.0,0.82,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
0.0,3.35,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,56.0
0.0,2.28,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
0.0,0.55,0.0,0.0,0.0,1.28,0.0,0.5,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.57,0.0,70.0
2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
0.42,2.128,0.0,0.6,5.6,0.96,0.0,0.212,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0,3.08,0.6,56.0
0.0,2.086,3.36,0.0,0.88,0.96,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,1.4,0.18,48.0
2.28,0.992,0.204,0.0,3.21,0.0,0.18,0.412,0.0,0.0,0.0,0.0,0.82,0.0,0.84,0.0,3.2,0.8,52.0
0.0,1.34,0.0,1.22,1.72,1.44,0.0,0.408,0.0,0.0,0.4,0.0,0.0,1.62,0.0,0.0,0.6,0.0,52.0
0.0,1.232,0.42,0.0,2.424,1.34,0.0,0.0,1.074,0.0,0.0,0.12,0.0,0.0,0.64,0.0,0.0,0.0,28.0
0.0,0.86,1.63,2.4,0.0,2.84,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,3.08,45.0
1.842,0.0,1.28,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,2.42,0.0,50.0
1.22,1.84,0.42,0.0,1.22,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.2,62.0
0.0,0.0,1.82,0.0,1.5,0.0,0.0,0.28,0.08,0.0,0.42,0.0,0.0,0.0,0.0,2.4,2.2,1.2,24.0
1.62,1.86,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.0,64.0
2.4,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.8,58.0
0.0,0.0,1.82,0.0,0.52,0.0,0.68,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,43.0
0.0,3.32,1.78,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,56.0
0.0,1.36,2.48,0.0,1.28,2.42,0.72,0.52,0.0,0.0,0.62,0.0,0.0,0.0,0.0,0.0,2.48,0.0,20.0
1.32,4.9,0.0,0.0,1.2,2.84,0.8,1.72,0.0,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,0.0,60.0
0.6,1.2,0.8,0.8,0.0,0.0,0.92,0.6,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,28.0
0.0,0.58,1.72,0.0,0.0,2.4,0.0,2.2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,2.48,0.0,28.0
