S.N,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3,PCI
1,0,1.45,0,0,0,0,0,2.35,0,0,0,0,0.32,0,0,0,0,0.4,0,0,0,0,0,1.55,36
2,0,1.47,0,0,0,0,0,0.12,0,0,0,0,1.7,0,0,0,0,0.09,0,0,0,2.22,0,1.25,56
3,0,0.8,0,0.75,2.91,0,0,0.13,0,0.74,0,0,0,0.73,0,0,0,0.34,0,0,0.26,0,0,0.33,46
4,0,7.65,0,0,0,0,0,4.32,2.99,0,0.43,0,0,1.22,0,0,0.25,0,0,0,0,0,2.97,0,45
5,0,0.1,0,0,0,0,0,1.23,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.32,0,87
6,0,0.07,0,0.65,1.04,0,0,0.14,0,0,0,0,0.28,0,0,0,0.09,0,0,0,0.04,0,0,0.32,56
7,0,1.52,0,0,0.74,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,64
8,0,1.05,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,75.5
9,0,0.04,0,0,1,0,0,0.13,0,0,0,0,0,0,0,0,0.03,0,0,0,0.11,0,0,0.45,68
10,0,1.88,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0.34,0.6,0,0,0,0,0,53
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12,0,0,0,0,0,1.03,0,0.24,0.16,0,0,0.82,0,1.2,0,0,0.02,0,0,0,0,0,0,0,69
13,0,0,0,0,0,0,0,3.35,0,0.45,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,56
14,0,2.24,0,0,0.23,0,0,0.04,0,0,0,0,0,0.38,0,0,0.09,0,0,0,0,0,0,0,62
15,0,0,0,0,0,0.87,0,0.55,0,0,0.5,0,0,0,0.41,0,0.22,0,0,0,0,0,0,0,75
16,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1.57,0,70
17,0,0,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
18,0.42,0,0,0.6,4.32,0,0,2.128,0,0,0.212,0,0,1.28,0.96,0,0,0,0.56,0,0,0,3.08,0.6,56
19,0,0.88,0,0,0,0.96,0,1.206,3.36,0,0.46,0,0,0.88,0,0,0,0,0,0.9,0,0,1.4,0.18,48
20,0.58,0.68,0.204,0,2.4,0,1.7,0.312,0,0.18,0.412,0,0,0.81,0,0,0,0,0.82,0,0.84,0,3.2,0.8,52
21,0,0.92,0,0,1.72,0.92,0,0.42,0,0,0.408,0,1.22,0,0.52,0,0.4,0,0,1.62,0,0,0.6,0,52
22,0,0.604,0,0,1.22,0.84,0,0.628,0.42,0,0,1.074,0,1.204,0.5,0,0,0.12,0,0,0.64,0,0,0,28
23,0,0,0.42,0,0,2.42,0,0.86,1.21,0,1.33,0,2.4,0,0.42,0,0,0,0,0,0.42,0,0,3.08,45
24,1.842,0,1.28,0,1.28,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0.82,0,2.42,0,50
25,1.22,0.62,0,0,0,0.82,0,1.22,0.42,0,0,0,0,1.22,0,0,0,0,0,0,0,0,0.92,0.2,62
26,0,0,1.82,0,0.52,0,0,0,0,0,0.28,0.08,0,0.98,0,0,0.42,0,0,0,0,2.4,2.2,1.2,24
27,1.62,1.22,0,0,0,0,0,0.64,0.62,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1.2,0,64
28,0,0,0.84,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.8,58
29,0,0,0.82,0,0.52,0,0,0,1,0.68,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0.4,43
30,0,0.92,1.78,0,1.2,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,56
31,0,0,2.48,0,0,2.42,0,1.36,0,0.72,0.52,0,0,1.28,0,0,0.62,0,0,0,0,0,2.48,0,20
32,0,2.48,0,0,1.2,0,1.32,2.42,0,0.8,1.72,0,0,0,2.84,0,0,0,0,1.22,0,0,0,0,60
33,0,0,0,0.8,0,0,0.6,1.2,0.8,0.92,0.6,0,0,0,0,0,0,0.24,0,0,0,0,0,0,28
34,0,0,0,0,0,2.4,0,0.58,1.72,0,2.2,0,0,0,0,0,0,0.12,0,0,0,0,2.48,0,28
35,0,0,0.92,0,0,1.72,0.92,0,0.42,0,0,0.408,0,1.22,0,0.52,0,0.4,0,0,1.62,0,0,0.6,8
36,0,0,0,0,3.2,0,0,0.6,2.6,0,0,0.8,0,0,2.3,0,0,0.2,0,0,0,0,2.6,0,16
37,0,2.4,0,2,0,0,0,0,0.6,0,0,1.55,0,4.2,0,0,0,0,0,0,0,0,0,0,48
38,0,0,1.6,0,0,0,0,0,2.8,0,0,0.4,0,0,0,0,0,0,0,0,2,0,0,0,36
39,0,0,0,0,0,2.6,0,1.1,0,0,2,0,0,0,0,0,0.9,0,0,0,0,0,0,0,10
40,2.5,0,0,0,0,0,0.5,0,3.2,0,1.5,0,0,0.45,0,0,0,0,0,0,0,0,0,0,50
41,0,1,0,0,0,0,0.6,0.45,0,1.5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,62
42,0,0,1.2,0,0,0,0,0.5,0.6,1.8,0,0,0,0.4,0,0,0,0,0,0,0.6,0,2.6,0,40
43,0,1.2,0,0,0,2.6,0,0.8,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,68
44,0,0,0,0,1.2,0,0,0.6,1.2,1.3,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,4
45,0,0,1.4,0,0,0,0,0.9,0.5,0.9,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,26
46,0,1.43,0,0,0,0,1.6,0.5,0.5,0,0,0.4,0,0,0,1.2,0,0,0,0,0.5,0,0,0,20
47,0,0,0,2.1,0,0,1.1,1.1,2.3,0,0,1,0,1.2,0,0,0,0,0,0,0,0,0,0,38
48,0,0,2.32,0,0,0.15,0,0.56,2.1,0.66,0.15,0,0,0,0.166,0,0,0.6,0,0,0,0,0,0,10
49,0,1.2,0,0,0.99,0,0.36,0,0.81,0.59,0,0.355,0,0,0,0,0,0,0,0,0.6,0,0,0.66,36
50,0,0,0,0.15,0,0,0.56,2.36,0,0,0.32,0.88,0,0,0,0.6,0,0,0,0,0.66,0,0,0.152,28
51,0,0,0,0,0,0,0,0,0.78,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,82
52,0,0,1.2,0,0.65,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0,0,0.65,60
53,0,0,0,0,0,0,0.65,1.21,0,0,1.46,0.66,0,0,0,0,0,0,0,0,0,0,0,0.15,58
54,0,0,0,0,0,0,1.16,1.22,0.772,0,0.3,0,0.155,0.15,0,0,0,0,0.2,0,0,0,0.778,0,84
55,0,0,2.12,0,0,0,1.4,2.3,0,0.65,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,50
56,0,2.01,0,0,1.4,0,1.5,2.8,2.4,1.7,0,0,1.4,0,0,2.1,0.15,0,0,0,0.5,0,0,0,16
57,1.1,0,0,0,1.05,0,0,1.96,3.75,0,0,0.96,0,0,0,0,0.09,0,0,0,0,0,0,0,38
58,0,1.5,0,0,0,0,0,2.1,0.15,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,64
59,0,0,0.96,0,0,4.56,0.54,2.2,0,0.78,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,44
60,0,0,0,0,0,0,0.4,0,3.15,0,0.9,0,0,1.1,0,0,0.06,0,0,0,0,0,0,0,66
61,0,0,1.4,0,0,1.5,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,62
62,0,2.1,0,0,0,0,0,0,0,0.15,0.25,0.45,0,0,1.1,0,0,0,0,0.15,0,0,0,0,54
63,1.2,0.2,0,0,1.2,0,0,0.5,0.25,0.78,0,0.45,0,0,0,1.2,0.05,0,0,0,0,0,0.2,0.3,32
64,0.9,0,2.1,0,0,2.1,0.12,0.5,1.96,0.17,0.11,0,0,0,0,0,0,0,0,0,0.52,0,0,0,46
65,0,0,0,0,2.1,0,0.9,1.05,0,0,0,0.65,0,0,0,0,0,0,0,0.26,0,0,0,0,86
66,0,0.9,1.2,0,0,0.2,0,0,0.15,0,0,0.12,0,0,0,0,0.15,0,0,0,0,0,0.52,1.3,33
67,0,0,0.9,0,0.6,0,0,1,0.53,0.51,0,0.15,0,0,1.3,0,0,0,0,0,0,0,0,0,55
68,2.4,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.45,0,0.26,68
69,0,2.5,0,0,0.8,0.5,0.12,0.6,0,0,0.06,0.104,0,0,0,0,0,0,0,0.156,0,0,0,0,64
70,0,0,0,0,0,0,1,1.2,1.27,0,0.35,0.31,0,0,0,0.01,0.08,0,0,0,0,0,1.5,0,52
71,0.9,0,0.3,0,0,0.7,0,0.42,0.45,0,0.55,0,0,0,0,0,0,0,0,0,0.65,0,0,0,64
72,0.4,0.6,0,0,0.4,0,0.177,1.1,0.15,0,0.23,0.8165,0,0,0.6,0.23,0.01,0,0,0.21,0,0,0,0,52
73,0,0,0,0,0,0,0.23,1.32,1.83,0.25,0,2.22,0,0.11,0,0,0,0,0,0,0,0,1.2,0,52
74,0,0.9,0,0,0,0,1.1,1.6,0.81,0,0.366,0,0,0,0,0.12,0,0,0,0,0,0.12,0,0.6,56
75,0,0,0.8,0,0.4,0.7,0,1.49,0.23,0,0.3,0.16,0,0,0,0,0,0,0,0,0.08,0,0.15,0,50
76,0,0.8,0,0,0.5,0,0,1.2,0,0.56,0,0.99,0,0,0.65,0.18,0,0,0,0.12,0,0,0,0,42
77,0,0.6,0,0,0,0,1.25,1.2,0.89,0,0.66,0.5,0,0.32,0,0,0.06,0,0,0,0,0,0.15,0,60
78,1.2,0,0.9,0,1.4,0,0,1.1,2.43,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,57
79,0,1.4,0,0,0,0.8,0,0.23,1.25,0,0.89,1.92,0,0,0.66,0.16,0,0,0,0,0.45,0,0,0,26
80,1.5,0,0.5,0,0.6,0,0,0.23,0,0.12,0.32,1.19,0,0,0.45,0,0,0,0,0.13,0,0,0.62,0,58
81,0,1.5,0,0,0.5,0,0.4,2.26,2.77,0,0,0,0,0.33,0,0,0.01,0,0,0,0,0.26,0.46,0,60
82,0,0,0.4,0,0.7,0.9,0,0,0,0,0.23,0,0.15,0,0,0.6,0,0,0,0,0,0,0,0,45
83,0,0,0.6,0,0,0,0,0,1.36,0,1.16,1.35,0,0,1.5,0,0,0,0,0,0.23,0,0,0,36
84,0,0.8,0,0,0,0,0,1,1.79,0,0,1.85,0,0,0,0,0.02,0,0,0.48,0,0,0,0,50
85,0,0,0.5,0,1.4,2.4,0.056,1.42,0.15,0.23,0,0,0,0.718,0,0.05,0.02,0,0,0,0,0.78,0,0,52
86,0,1.9,0,0,2.6,0,0,0,0,0,0.15,0.74,0,0,1.45,0,0,0,0,0,0.48,0,0,0,46
87,0,0,0.7,0,0,0,0,0.6,3.4,0,0.66,0,0,0,0,0.26,0,0,0,0,0,0,0,0,38
88,0,1.2,0,0,1.1,2.1,0,0.315,0,0,0.22,0.95,0.89,0,0,0,0.05,0,0,0.95,0,0,0,0,48
89,0,1.2,0,0,0,0,0,0.15,2,0,0.45,0.56,0,0,1.8,0.3,0,0,0,0,0,0,1.26,0,42
90,0,0,0,0,0,1.9,0.15,0.8,0,0.78,0.66,0,0,0,0.15,0,0,0,0.12,0,0,0,0,0,87
91,0,0.6,0,0,0,1.5,0,0,1.12,0,0,0.23,0,0,0,0,0.09,0,0,0,0,0,0,0,52
92,0,0,0,0,0,0,0,0.56,0.58,0,0.65,0.12,0,0,1.2,0.15,0,0,0,0,..45,0,1.25,0,40
93,0,0,0,0,0,0,0,0.08,0,0,0.1,0,0.23,0,0.45,0,0,0,0,0,0,0,0,0,92
94,0,0.9,0,0,0,0,0.95,0,12.5,0.15,2.6,0.15,0,1.22,0,0,0.15,0,0,0.15,0,0,0,0,22
95,0,0,0,0,0,0,0,0,0.78,0,0,0.12,0,0,0.81,0.065,0,0,0,0,0.05,0.9,0.4,0.56,54
96,0,0,0,0,0,0,0,0.66,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,76
97,0,0,0,1.25,0,0,0,0,1.84,0,0.78,0,0.15,0.66,1.05,0,0.26,0,0,0,0,0,0,0,38
98,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0.65,0,0,0,64
99,0,0,0,0,0,0,0,0.98,0,0,0.9,0,0,0.15,0,0.156,0,0,0,0,0,0,0,0,70
100,0,0,0,0.555,0,0,0.45,0,0.95,0,0,0,0.56,0,0.45,0,0.22,0,0,0,0,0,0,0,44
101,0,0,0,0,0,0,0,0,0,0,0.01,0.13,0,0,0,0.98,0,0,0,0.156,0.48,0,0,0,64
102,0,2.45,0.85,0,0,0,0.665,0.6,0.145,0,0,0,0,0.11,0,0,0.15,0,0,0,0,0,0,0,34
103,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
104,0,0,0,2.3,0,0.56,0,0.45,0.7,0,0.796,1.28,0.47,0.55,0,0,0.12,1.2,0,0,0.11,0.48,0,0,34
105,0,0.25,1.23,0,0.98,0,0.6,0.87,1.3,0,0.26,0.32,0,0.58,0.23,0.05,0.06,0.01,0,0,0.12,0.23,0,0.26,34
106,0.5,0,0,0,0.26,2.3,0.23,0,0.23,0.43,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,82
107,0,0,0.5,0.15,0,0,0.66,0,0,0,0,0,0,0.5,0,0.1,0,0.03,0,0,0,0,0,0,58
108,0,0.11,0,0,0.66,0,0,0.32,1.3,0,0,0,0.14,0,0,0,0.05,0,0,0,0,0,0,0,36
109,0.07,0,0,0,0.26,2.5,0.65,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.23,0,0,1.2,36
110,0,0,0,0,0,0,0.22,1.2,0.12,0,0,0,0,0,0,0.13,0,0.05,0,0,0,0.25,0,0,50
111,0,0.66,0.36,0,1.23,0,0.6,0,0.15,0.3,0.1,0,0,0,0.2,0,0,0,0,0.5,0,0,0,0,62
112,0.6,0,0,0,0,0,0,0,1.5,0,0,0,0.25,0,0,0,0.01,0,0,0,0,0,0,0,88
113,0,0,0,0,0,0,0.8,1.11,0,0,0,0,0,0,0,0.23,0,0.05,0,0,0,0,0,0.25,44
114,0,0.65,0.1,0,1.22,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0.01,0.26,0,0,74
115,0,0,0,0,0,0,0.5,0.12,0.23,0,0,0.12,0.36,0,0,0,0,0,0,0.6,0,0,0,0,70
116,0.3,0,0,0,0,0,0,0.23,0.69,0,0.3,0.15,0,0,0,0.1,0.02,0.01,0,0,0,0,0,0,54
117,0,1.23,0.1,0,0.33,0,0.68,0,0,0,0,0,0,0,0,0.12,0,0.02,0,0,0,0,0,0.55,54
118,0,0,0,0,0,0,0,0,0.33,0.2,0,0,0,0,0,0.01,0,0.01,0,0,0.14,0,0,0,76
119,0.4,0,.0.16,0.25,0,0.78,0.81,1.25,0.12,0.1,0,0.79,0,0,0.6,0,0,0.1,0,0.12,0,0,1.2,0,32
120,0,0.12,0,0,0.32,1.25,0,0.49,0.23,0.21,0.49,0,0.45,0,0,0.1,0,0.2,0.25,0,0,0,0,0,28
121,0,0,0,0,0,0,1.23,0.36,0,0,0.1,0,0,0,0,0,0.02,0.7,0,0,0,0,0,0.44,0
122,0.3,0,0,0,0,1.23,0.5,0,0.9,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2
123,0,0,0.6,0,0.62,0,0.756,1.23,0,0,0,0.11,0.15,0,0.15,0,0,0,0,0.23,0.15,0.23,0,0,62
124,0,0,0,0.66,0,0,1.23,0.25,0.7,0,1.01,0,0,0,0,0,0.12,0,0.12,0,0,0,0,0,58
125,0.2,1.23,0,0,0,0,0,0.56,0,0.513,0.3,0.83,0,0,0,0.1,0,0.6,0,0,0,0,0,0.55,8
126,0.1,0,0.06,0,0,1.56,0,0.2,0.14,0,0,0,0,0,0,0,0,0.04,0,0,0,0,1.4,0,54
127,0.5,0,0,0.12,1.23,0,0.12,1.22,0.12,0.12,0.122,0.45,0,0,0,0,0,0,0,0.35,0.01,0,0,0,70
128,0,0,0,0,0,0,1.2,0,0.9,0.36,0.4,0,0,0,0,0,0.2,0,0.36,0,0,0.15,0,0.6,48
129,0,1.56,0,1.65,0,0,1.5,0.4,0.2,0,0,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,35
130,0,0,0.6,0,0.23,1.05,0.53,0.47,0.38,0.3,0.01,0.11,0,0,0,0.08,0,0,0,0.15,0.04,0,0.25,0.5,60
131,0,0,0,0,0,0,0,0.23,0.15,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,82
132,0.08,0,0,1.3,0.12,0,1.75,0.6,0.12,0.22,0.34,0,0.55,0,0,0.04,0.01,0.4,0.45,0,0,0.15,0,0,18
133,0,1.11,0,0,0,0,0,0,0.66,0.75,0.15,0.3,0,0,0,0,0,0,0,0.45,0.05,0,0,0,52
134,0,0,0,0,1.23,0.98,0.6,0.9,0.33,0.32,0,0.1,0.25,0,0,0,0,0,0,0,0,0,0.23,0.5,72
135,0.6,0,0.48,0,1.01,0,0,0.3,0,0,0.3,0.15,0,0,0.15,0.4,0,0.08,0,0.56,0,0,0,0,28
136,0,0,0.05,0,1.35,0,2.24,0,0.22,0.3,0,0.6,0,0,0,0,0.2,0,0.55,0,0.2,0.56,0,0,32
137,0,0,0,0,0,0,0.45,0,0.11,0,0.15,0.14,0,0,0,0,0,0.07,0,0,0,0,0,0.15,50
138,0,1.45,0.01,0,0.32,0.56,0.33,0.6,0.14,0.12,0,0,0,0,0,0,0,0.4,0,0.65,0.05,0,0.56,0,18
139,0.04,0,0,0.6,0,0,3.01,0.48,0.6,0.12,0,0.37,0,0.23,0.17,0.4,0,0,0,0,0,0,0,0,50
140,0,0,1.26,0,0,0,0.15,0,0.37,0.5,0.15,0,0,0,0,0,0.23,0,0.36,0,0.25,0,0,0.78,48
141,0,0,0,0,0.65,0,0.3,0.26,0.22,0.3,0.56,0.45,0,0.4,0,0,0,0,0,0.87,0,0,1.25,0,58
